delivery_id,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delivery_rating,delivery_cost,delivery_partner_blue dart,delivery_partner_delhivery,delivery_partner_dhl,delivery_partner_ecom express,delivery_partner_ekart,delivery_partner_fedex,delivery_partner_shadowfax,delivery_partner_xpressbees,package_type_clothing,package_type_cosmetics,package_type_documents,package_type_electronics,package_type_fragile items,package_type_furniture,package_type_groceries,package_type_pharmacy,vehicle_type_ev bike,vehicle_type_ev van,vehicle_type_scooter,vehicle_type_truck,vehicle_type_van,delivery_mode_same day,delivery_mode_standard,delivery_mode_two day,region_east,region_north,region_south,region_west,weather_condition_cold,weather_condition_foggy,weather_condition_hot,weather_condition_rainy,weather_condition_stormy,delayed_yes,delivery_status_delivered,delivery_status_failed
250.99,0.9996592844974448,0.947594677584442,0.42105263157894735,0.2727272727272727,0.5,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
250.99,0.29301533219761494,0.9563971340839303,0.10526315789473684,0.04545454545454544,1.0,0.35425097843067493,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
250.99,0.9195911413969337,0.5367451381780962,0.5263157894736842,0.6363636363636364,0.75,0.8799321975322649,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
250.99,0.9066439522998296,0.24605936540429885,0.3157894736842105,0.2727272727272727,0.5,0.9049150673509543,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
250.99,0.862350936967632,0.744114636642784,0.47368421052631576,0.6363636363636364,0.75,0.8450537691213289,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
250.99,0.1526405451448041,0.6648925281473899,0.21052631578947367,0.0,0.5,0.19243484870920535,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
250.99,0.6633730834752982,0.882702149437052,0.3157894736842105,0.2727272727272727,0.5,0.7333530160179229,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
250.99,0.3781942078364565,0.8589559877175025,0.21052631578947367,0.2727272727272727,0.5,0.45881469815098136,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
250.99,0.4729131175468484,0.27410440122824975,0.2631578947368421,0.2727272727272727,1.0,0.49348493598009485,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
250.99,0.14821124361158433,0.5856704196519958,0.15789473684210525,0.2727272727272727,1.0,0.2131823413789451,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
250.99,0.9867120954003408,0.4376663254861822,0.2631578947368421,0.2727272727272727,0.75,0.9996287701687878,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
